id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11762465,Fabulous single room,20584468,Dorothy,,Greater Dandenong,-37.951353581414494,145.1780672932144,Private room,30,2,15,2017-03-21,1.19,5,355
5503903,Double bedroom with queen bed,755657,Galya,,Greater Dandenong,-37.96916198088059,145.20569335940584,Private room,45,1,0,,,1,365
11763524,Charming single room,20584468,Dorothy,,Greater Dandenong,-37.95179958288759,145.1780357581808,Private room,30,2,32,2017-03-25,2.54,5,347
11762629,Amazing double bedroom,20584468,Dorothy,,Greater Dandenong,-37.95354486636671,145.17825351185434,Private room,45,2,16,2017-03-22,1.27,5,338
9665733,Simple Family House,49773227,Niroj,,Greater Dandenong,-37.967618928580606,145.18551829413332,Entire home/apt,90,1,0,,,1,0
12045772,Female only. walk to station 3 min,55625498,Dan,,Greater Dandenong,-37.96969463356285,145.17482008984274,Private room,31,2,1,2017-03-27,1,3,170
16399867,4bedrooms for up to 14 guests,107285752,May,,Greater Dandenong,-37.99614054564202,145.15041645715922,Private room,79,1,1,2017-01-02,0.32,5,357
17659381,"Newly renovated, spacious, comfy like home",120139961,Donna,,Greater Dandenong,-37.96543159101983,145.145384906938,Entire home/apt,94,2,0,,,1,165
10616480,Large family  home in quiet area.,33329279,Myrna,,Greater Dandenong,-37.970011725581884,145.2116178613867,Private room,60,1,11,2016-11-29,0.80,2,346
15345802,Master bedroom/ensuite in Springvale free wifi,97858591,Swan,,Greater Dandenong,-37.95175999910335,145.14217660502965,Private room,79,2,3,2017-03-30,0.61,3,140
8748739,Fully furnished 1BB in Mel SE,41051832,Anu,,Greater Dandenong,-37.963276766166224,145.1842269584381,Private room,46,1,6,2017-03-13,0.47,1,343
11303220,Jolong Park Club House,59071825,Sisly,,Greater Dandenong,-38.04321761832957,145.15159850445824,Entire home/apt,2500,1,0,,,1,365
11763442,Spacious double bedroom,20584468,Dorothy,,Greater Dandenong,-37.95321690031212,145.17849261446204,Private room,149,2,8,2016-09-27,0.64,5,277
753220,Furnished Bedroom in the Suburbs,3961962,Kuldeep,,Greater Dandenong,-37.95962495976938,145.17681317502974,Private room,75,1,0,,,1,365
12992391,Brandnew clean cozy master room with own ensuite,46687156,Jenny,,Greater Dandenong,-37.964862269978774,145.16377545365754,Private room,48,1,20,2017-03-18,2.01,1,50
14766827,Great Room with Comfortable bed.,92106729,Zubin,,Greater Dandenong,-37.988597881292414,145.1723591608977,Private room,180,1,0,,,1,365
17816898,apartments,121801080,Otoole,,Greater Dandenong,-37.94983693161467,145.151552607246,Private room,100,1,0,,,1,180
13722058,Large bedroom with KING SIZE BED and heating,67654086,Cris,,Greater Dandenong,-37.947740000101625,145.14545089792398,Private room,41,3,0,,,2,358
16440182,Classic and romatic queen bed room near wetland,107285752,May,,Greater Dandenong,-37.997304120403584,145.14997046407848,Private room,38,1,1,2017-02-13,0.60,5,355
8412000,Insaa Apartments Dandenong - 3BR townhouse,39093981,Don,,Greater Dandenong,-37.99226859386479,145.20285449366526,Entire home/apt,248,3,0,,,5,356
15260363,Luxury house in the keys,47934920,Yiqian,,Greater Dandenong,-38.005548253677375,145.1456767294705,Private room,80,3,1,2017-02-20,0.70,4,365
9887196,Cosy Room No.1 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94680381448184,145.19414883792552,Private room,39,1,6,2017-01-23,0.39,4,358
16083734,Basic bedroom in Springvale with free wifi,97858591,Swan,,Greater Dandenong,-37.951569489783026,145.14408089975456,Private room,56,2,3,2017-02-25,0.97,3,133
12276678,Spacious 2 bed flat with courtyard,8359534,Sussie,,Greater Dandenong,-37.97697927838437,145.20467974380907,Entire home/apt,100,2,14,2017-03-20,1.44,1,145
12045613,"Female only.步行火车站3分,附近超市24小时",55625498,Dan,,Greater Dandenong,-37.96977224397262,145.1768699845026,Private room,31,1,1,2016-04-11,0.08,3,166
16501036,sunny room with genuine Leather queen bed,107285752,May,,Greater Dandenong,-37.99720867490006,145.14977081793143,Private room,52,1,7,2017-03-23,4.38,5,83
10757824,"Female only.交通便利,舒适,安静,",55625498,Dan,,Greater Dandenong,-37.97009380405302,145.17503588731782,Private room,31,1,1,2017-03-23,1,3,170
10195741,Dandenong,52373654,Rajinth Vergil,,Greater Dandenong,-37.99540444165019,145.22315639049597,Private room,69,1,4,2017-03-04,1.60,1,351
14326294,Big room available with Queen Bed,87663648,Allan,,Greater Dandenong,-37.952961284292094,145.17568118717548,Private room,37,1,0,,,1,276
10127911,Insaa Apatrments Dandenong - 2BR Apartment,39093981,Don,,Greater Dandenong,-37.99313620733862,145.20306427758246,Entire home/apt,198,1,1,2016-10-27,0.19,5,361
9537955,Melbourne garden hostel,34310230,Karen,,Greater Dandenong,-37.94200526576322,145.14545098825172,Shared room,20,1,13,2017-03-17,0.87,4,355
12692275,Comfortable Bedroom with Bathroom,68813725,Ivy,,Greater Dandenong,-37.977440829268524,145.20716150299737,Entire home/apt,110,1,0,,,4,360
12328328,Queen size bedroom 4,66524136,Gordana,,Wyndham,-37.88989789937127,144.64608791664224,Private room,50,1,0,,,2,365
11627485,Big Ben City Chic in  Werribee,20958587,Big Ben,,Wyndham,-37.90564300858279,144.67107513853406,Entire home/apt,200,7,1,2016-12-13,0.27,1,363
14155778,Deluxe lake view house 20mins melbourne CBD,85569276,Miriam,,Wyndham,-37.89782737231293,144.77281849833358,Entire home/apt,319,3,0,,,1,321
12190654,Kimmy's Abode,54881050,Kim,,Wyndham,-37.900727438754544,144.67072165187508,Private room,52,1,2,2016-10-30,0.23,1,171
16968197,Charming and full of character Room 2,99698806,Anthony,,Wyndham,-37.897331173465005,144.62634052522478,Private room,29,2,4,2017-03-04,1.97,2,295
16947107,"New house , close to Train station",100256427,Moc,,Wyndham,-37.87432009848509,144.59397385943024,Private room,37,3,5,2017-03-24,3.06,2,118
15139020,Brand new luxury house!,76410719,Thanh Tuan (Jackson),,Wyndham,-37.83765540665475,144.71486390477534,Entire home/apt,79,1,5,2017-03-17,0.81,2,330
16498878,Holiday  by the Water--House One,108377237,Jin,,Wyndham,-37.896941112432316,144.743147773534,Entire home/apt,165,3,12,2017-03-16,3.96,2,166
7252782,Granny Mansion,37971839,Judy,,Wyndham,-37.85303183699034,144.69878195164375,Entire home/apt,115,1,9,2016-03-30,0.44,1,0
17794192,Private Rm(s) in Modern 5BR House close to station,23227579,Craig And Jenny,,Wyndham,-37.85884757422125,144.7531678614013,Private room,45,1,0,,,1,223
17836790,Family home with large spare room,93994353,Sandra,,Wyndham,-37.90976063485046,144.66782606988434,Private room,45,1,0,,,1,168
12683856,Cozy and Clean Single Bed Room,54289205,Jen,,Wyndham,-37.88008120207963,144.67280588468023,Private room,28,1,12,2016-11-20,1.06,2,331
3006500,Pride Comfort Private Room,7044292,Malcom,,Wyndham,-37.86121157489415,144.75155407178673,Private room,50,7,44,2017-04-01,1.25,9,180
