Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
"Darwinia apiculata","Scarp Darwinia","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","8763","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8763","2017-May-11","http://id.biodiversity.org.au/name/apni/80115","Proteaceae","Darwinia","apiculata","-","-","N.Marchant","-"
"Kunzea rupestris","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8798","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8798","2017-May-11","http://id.biodiversity.org.au/name/apni/76290","Myrtaceae","Kunzea","rupestris","-","-","Blakely","-"
"Pandanus spiralis var. flammeus","Edgar Range Pandanus","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","8825","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8825","2017-May-11","http://id.biodiversity.org.au/name/apni/90429","Pandanaceae","Pandanus","spiralis","var.","flammeus","-","B.C.Stone"
"Uromyrtus australis","Peach Myrtle","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8830","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8830","2017-May-11","http://id.biodiversity.org.au/name/apni/105702","Myrtaceae","Uromyrtus","australis","-","-","A.J.Scott","-"
"Sophora fraseri","-","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","8836","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8836","2017-May-11","http://id.biodiversity.org.au/name/apni/109098","Fabaceae","Sophora","fraseri","-","-","Benth.","-"
"Acacia glandulicarpa","Hairy-pod Wattle","-","Vulnerable","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","8838","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8838","2017-May-11","http://id.biodiversity.org.au/name/apni/63594","Fabaceae","Acacia","glandulicarpa","-","-","Reader","-"
"Elaeocarpus williamsianus","Hairy Quandong","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8956","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8956","2017-May-11","http://id.biodiversity.org.au/name/apni/69612","Elaeocarpaceae","Elaeocarpus","williamsianus","-","-","Guymer","-"
"Comesperma oblongatum","Byfield Matchstick","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9002","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9002","2017-May-11","http://id.biodiversity.org.au/name/apni/74171","Polygalaceae","Comesperma","oblongatum","-","-","(Benth.) Pedley","-"
"Macropteranthes montana","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9003","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9003","2017-May-11","http://id.biodiversity.org.au/name/apni/58354","Combretaceae","Macropteranthes","montana","-","-","(F.Muell.) Benth.","-"
"Darwinia acerosa","Fine-leaved Darwinia","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9004","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9004","2017-May-11","http://id.biodiversity.org.au/name/apni/80110","Myrtaceae","Darwinia","acerosa","-","-","W.Fitzg.","-"
"Pterostylis bicornis","-","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9074","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9074","2017-May-11","http://id.biodiversity.org.au/name/apni/74183","Orchidaceae","Pterostylis","bicornis","-","-","D.Jones  M.Clements","-"
"Boronia revoluta","Ironcap Boronia","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9167","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9167","2017-May-11","http://id.biodiversity.org.au/name/apni/61054","Rutaceae","Boronia","revoluta","-","-","Paul G.Wilson","-"
"Coopernookia scabridiuscula","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9174","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9174","2017-May-11","http://id.biodiversity.org.au/name/apni/78722","Goodeniaceae","Coopernookia","scabridiuscula","-","-","Carolin","-"
"Lepidium monoplocoides","Winged Pepper-cress","-","Endangered","-","Yes","-","Yes","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","9190","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9190","2017-May-11","http://id.biodiversity.org.au/name/apni/83940","Brassicaceae","Lepidium","monoplocoides","-","-","F.Muell.","-"
"Drummondita ericoides","Morseby Range Drummondita","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9193","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9193","2017-May-11","http://id.biodiversity.org.au/name/apni/55974","Rutaceae","Drummondita","ericoides","-","-","Harv.","-"
"Gastrolobium hamulosum","Hook-point Poison","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9212","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9212","2017-May-11","http://id.biodiversity.org.au/name/apni/89229","Fabaceae","Gastrolobium","hamulosum","-","-","Meissner","-"
"Acacia menzelii","Menzel's Wattle","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","9218","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9218","2017-May-11","http://id.biodiversity.org.au/name/apni/66714","Fabaceae","Acacia","menzelii","-","-","J.Black","-"
"Bulbophyllum longiflorum","pale umbrella orchid","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9227","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9227","2017-May-11","http://id.biodiversity.org.au/name/apni/69604","Orchidaceae","Bulbophyllum","longiflorum","-","-","Thouars","-"
"Phreatia limenophylax","Norfolk Island Phreatia","Plexaure limenophylax","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","9239","40903","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9239","2017-May-11","http://id.biodiversity.org.au/name/apni/84776","Orchidaceae","Phreatia","limenophylax","-","-","(Endl.) Benth.","-"
"Conostylis lepidospermoides","Sedge Conostylis","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9254","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9254","2017-May-11","http://id.biodiversity.org.au/name/apni/77539","Haemodoraceae","Conostylis","lepidospermoides","-","-","Hopper","-"
"Caladenia arenaria","Sand-hill Spider-orchid","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9275","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9275","2017-May-11","http://id.biodiversity.org.au/name/apni/90627","Orchidaceae","Caladenia","arenaria","-","-","Fitzg.","-"
"Acacia eremophiloides","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9280","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9280","2017-May-11","http://id.biodiversity.org.au/name/apni/62649","Fabaceae","Acacia","eremophiloides","-","-","Pedley  P.Forster","-"
"Caladenia lindleyana","Lindley's Spider-orchid","-","Critically Endangered","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","9305","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9305","2017-May-11","http://id.biodiversity.org.au/name/apni/91765","Orchidaceae","Caladenia","lindleyana","-","-","(H.G.Reichb.) M.A.Clements  D.L.Jones","-"
"Arthraxon hispidus","Hairy-joint Grass","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9338","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9338","2017-May-11","http://id.biodiversity.org.au/name/apni/102134","Poaceae","Arthraxon","hispidus","-","-","(Thunb.) Makino","-"
"Eucalyptus rhodantha","Rose Mallee","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9362","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9362","2017-May-11","http://id.biodiversity.org.au/name/apni/101981","Myrtaceae","Eucalyptus","rhodantha","-","-","Blakely  H.Steedman","-"
"Trachymene scapigera","Mountain Trachymene","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9367","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9367","2017-May-11","http://id.biodiversity.org.au/name/apni/75910","Apiaceae","Trachymene","scapigera","-","-","(Domin) B.L.Burtt","-"
"Lepidium catapycnon","Hamersley Lepidium, Hamersley Catapycnon","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9397","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9397","2017-May-11","http://id.biodiversity.org.au/name/apni/69085","Brassicaceae","Lepidium","catapycnon","-","-","Hewson","-"
"Prostanthera calycina","West Coast Mintbush, Limestone Mintbush, Red Mintbush","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","9470","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9470","2017-May-11","http://id.biodiversity.org.au/name/apni/109348","Lamiaceae","Prostanthera","calycina","-","-","Benth.","-"
"Pomaderris sericea","Bent Pomaderris","-","Vulnerable","-","Yes","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","9597","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9597","2017-May-11","http://id.biodiversity.org.au/name/apni/113051","Rhamnaceae","Pomaderris","sericea","-","-","Wakef.","-"
"Caladenia pallida","Rosy Spider-orchid, Pale Spider-orchid, Summer Spider-orchid","-","Critically Endangered","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","9604","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9604","2017-May-11","http://id.biodiversity.org.au/name/apni/92039","Orchidaceae","Caladenia","pallida","-","-","Lindley","-"
"Eucalyptus scoparia","Wallangarra White Gum","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9640","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9640","2017-May-11","http://id.biodiversity.org.au/name/apni/76558","Myrtaceae","Eucalyptus","scoparia","-","-","Maiden","-"
"Grevillea caleyi","Caley's Grevillea","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9683","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9683","2017-May-11","http://id.biodiversity.org.au/name/apni/109005","Proteaceae","Grevillea","caleyi","-","-","R.Br.","-"
"Hypsela sessiliflora","-","Isotoma fluviatilis subsp. fluviatilis","Extinct","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9693","48348","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9693","2017-May-11","http://id.biodiversity.org.au/name/apni/81717","Campanulaceae","Hypsela","sessiliflora","-","-","E.Wimm.","-"
"Prasophyllum frenchii","Maroon Leek-orchid, Slaty Leek-orchid, Stout Leek-orchid, French's Leek-orchid, Swamp Leek-orchid","-","Endangered","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","9704","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9704","2017-May-11","http://id.biodiversity.org.au/name/apni/104603","Orchidaceae","Prasophyllum","frenchii","-","-","F.Muell.","-"
"Darwinia carnea","Mogumber Bell, Narrogin Bell","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9736","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9736","2017-May-11","http://id.biodiversity.org.au/name/apni/80179","Myrtaceae","Darwinia","carnea","-","-","C.Gardner","-"
"Banksia cuneata","Matchstick Banksia, Quairading Banksia","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","9827","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9827","2017-May-11","http://id.biodiversity.org.au/name/apni/106933","Proteaceae","Banksia","cuneata","-","-","A.S.George","-"
"Cadellia pentastylis","Ooline","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9828","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9828","2017-May-11","http://id.biodiversity.org.au/name/apni/89474","Surianaceae","Cadellia","pentastylis","-","-","F.Muell.","-"
"Acacia georgensis","Bega Wattle","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9848","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9848","2017-May-11","http://id.biodiversity.org.au/name/apni/63478","Fabaceae","Acacia","georgensis","-","-","Tindale","-"
"Drosera prolifera","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","9940","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9940","2017-May-11","http://id.biodiversity.org.au/name/apni/55296","Droseraceae","Drosera","prolifera","-","-","C.White","-"
"Euphrasia semipicta","Peninsula Eyebright","-","Endangered","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","9986","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9986","2017-May-11","http://id.biodiversity.org.au/name/apni/113330","Scrophulariaceae","Euphrasia","semipicta","-","-","W.R.Barker","-"
"Bulbophyllum gracillimum","Wispy Umbrella Orchid","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10002","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10002","2017-May-11","http://id.biodiversity.org.au/name/apni/69540","Orchidaceae","Bulbophyllum","gracillimum","-","-","(Rolfe) Rolfe","-"
"Bossiaea oligosperma","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10059","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10059","2017-May-11","http://id.biodiversity.org.au/name/apni/62677","Fabaceae","Bossiaea","oligosperma","-","-","A.Lee","-"
"Caladenia calcicola","Limestone Spider-orchid","-","Vulnerable","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","10065","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10065","2017-May-11","http://id.biodiversity.org.au/name/apni/90755","Orchidaceae","Caladenia","calcicola","-","-","G.W.Carr","-"
"Coleanthera virgata","Hidden Coleanthera","-","Extinct","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10107","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10107","2017-May-11","http://id.biodiversity.org.au/name/apni/73128","Epacridaceae","Coleanthera","virgata","-","-","Stschegl.","-"
"Stylidium coroniforme","Wongan Hills Triggerplant, Wongan Triggerplant","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10122","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10122","2017-May-11","http://id.biodiversity.org.au/name/apni/94184","Stylidiaceae","Stylidium","coroniforme","-","-","R.Erickson  J.H.Willis","-"
"Phyllota humifusa","Dwarf Phyllota","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10133","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10133","2017-May-11","http://id.biodiversity.org.au/name/apni/96626","Fabaceae","Phyllota","humifusa","-","-","Benth.","-"
"Tetraria australiensis","Southern Tetraria","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10137","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10137","2017-May-11","http://id.biodiversity.org.au/name/apni/73716","Cyperaceae","Tetraria","australiensis","-","-","C.B.Clarke","-"
"Eucalyptus virens","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10181","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10181","2017-May-11","http://id.biodiversity.org.au/name/apni/103758","Myrtaceae","Eucalyptus","virens","-","-","Brooker  A.Bean","-"
"Diuris lanceolata","Snake Orchid","-","Endangered","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","10231","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10231","2017-May-11","http://id.biodiversity.org.au/name/apni/79257","Orchidaceae","Diuris","lanceolata","-","-","Lindley","-"
"Hypolepis dicksonioides","Downy Ground-fern, Brake Fern, Ground Fern","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","10243","-","Plantae","Polypodiatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10243","2017-May-11","http://id.biodiversity.org.au/name/apni/67226","Dennstaedtiaceae","Hypolepis","dicksonioides","-","-","(Endl.) Hook.","-"
"Cyperus cephalotes","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10265","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10265","2017-May-11","http://id.biodiversity.org.au/name/apni/96716","Cyperaceae","Cyperus","cephalotes","-","-","M.Vahl","-"
"Prasophyllum validum","Sturdy Leek-orchid","-","Vulnerable","-","Yes","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","10268","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10268","2017-May-11","http://id.biodiversity.org.au/name/apni/106810","Orchidaceae","Prasophyllum","validum","-","-","R.S.Rogers","-"
"Pultenaea villifera var. glabrescens","Yellow Bush-pea, Splendid Bush-pea","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","10271","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10271","2017-May-11","http://id.biodiversity.org.au/name/apni/63177","Fabaceae","Pultenaea","villifera","var.","glabrescens","-","J.M.Black"
"Dendrobium bigibbum","Cooktown Orchid","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10306","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10306","2017-May-11","http://id.biodiversity.org.au/name/apni/84946","Orchidaceae","Dendrobium","bigibbum","-","-","Lindl.","-"
"Epacris stuartii","Stuart's Heath, Southport Heath","-","Critically Endangered","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","10348","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10348","2017-May-11","http://id.biodiversity.org.au/name/apni/80010","Epacridaceae","Epacris","stuartii","-","-","Stapf","-"
"Astrotricha crassifolia","Thick-leaf Star-hair","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10352","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10352","2017-May-11","http://id.biodiversity.org.au/name/apni/109306","Araliaceae","Astrotricha","crassifolia","-","-","Blakely","-"
"Hensmania chapmanii","Chapman's Hensmania","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10481","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10481","2017-May-11","http://id.biodiversity.org.au/name/apni/76876","Liliaceae","Hensmania","chapmanii","-","-","Keighery","-"
"Hakea megalosperma","Lesueur Hakea","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10505","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10505","2017-May-11","http://id.biodiversity.org.au/name/apni/94944","Proteaceae","Hakea","megalosperma","-","-","Meissner","-"
"Banksia sphaerocarpa var. dolichostyla","Ironcaps Banksia, Ironcap Banksia","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10518","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10518","2017-May-11","http://id.biodiversity.org.au/name/apni/109142","Proteaceae","Banksia","sphaerocarpa","var.","dolichostyla","-","A.S.George"
"Randia moorei","Spiny Gardenia","-","Endangered","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10577","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10577","2017-May-11","http://id.biodiversity.org.au/name/apni/93079","Rubiaceae","Randia","moorei","-","-","Benth.","-"
"Eriocaulon carsonii","Salt Pipewort, Button Grass","-","Endangered","-","Yes","-","Yes","Yes","-","-","-","-","-","-","-","-","-","-","-","-","10584","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10584","2017-May-11","http://id.biodiversity.org.au/name/apni/88859","Eriocaulaceae","Eriocaulon","carsonii","-","-","F.Muell.","-"
"Olax angulata","Minnie Waters Olax","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10666","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10666","2017-May-11","http://id.biodiversity.org.au/name/apni/102603","Olacaceae","Olax","angulata","-","-","A.S.George","-"
"Acacia cretacea","Chalky Wattle","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","10689","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10689","2017-May-11","http://id.biodiversity.org.au/name/apni/60982","Fabaceae","Acacia","cretacea","-","-","Maslin  Whibley","-"
"Acacia attenuata","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10690","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10690","2017-May-11","http://id.biodiversity.org.au/name/apni/58907","Fabaceae","Acacia","attenuata","-","-","Maiden  Blakely","-"
"Acacia macnuttiana","McNutt's Wattle","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10711","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10711","2017-May-11","http://id.biodiversity.org.au/name/apni/66509","Fabaceae","Acacia","macnuttiana","-","-","Maiden  Blakely","-"
"Adenanthos pungens subsp. effusus","Sprawling Spiky Adenanthos","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","10742","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10742","2017-May-11","http://id.biodiversity.org.au/name/apni/75835","Proteaceae","Adenanthos","pungens","subsp.","effusus","-","E.C.Nelson"
"Gentiana wissmannii","New England Gentian","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10786","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10786","2017-May-11","http://id.biodiversity.org.au/name/apni/80384","Gentianaceae","Gentiana","wissmannii","-","-","J.B.Williams","-"
"Acacia constablei","Narrabarba Wattle","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10798","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10798","2017-May-11","http://id.biodiversity.org.au/name/apni/60740","Fabaceae","Acacia","constablei","-","-","Tind.","-"
"Swainsona plagiotropis","Red Darling-pea, Red Swainson-pea","-","Vulnerable","-","Yes","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","10804","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10804","2017-May-11","http://id.biodiversity.org.au/name/apni/95350","Fabaceae","Swainsona","plagiotropis","-","-","F.Muell.","-"
"Paspalidium grandispiculatum","a grass","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10838","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10838","2017-May-11","http://id.biodiversity.org.au/name/apni/101258","Poaceae","Paspalidium","grandispiculatum","-","-","B.Simon","-"
"Picris evae","Hawkweed","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","10839","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10839","2017-May-11","http://id.biodiversity.org.au/name/apni/110440","Asteraceae","Picris","evae","-","-","Lack","-"
